chemical.id,conc,plate.id,well,remove,bottle.id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
3530,1,18043,C11,0,C125605,0.0434028125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.51125625,0,0,0,0,0,0,0,0,0,16.12410625,0,0,0,0,0,18.74999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18043,D11,0,C125605,0,0,0,0,0,0,0,0,0,3.81944375,0,0,4.6657985,2.690970125,0.672742,0,0,0,3.60242825,3.602430625,0.1085068125,0,0,0,0,0,0,0,4.44878375,2.973090625,0.52083325,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18043,E11,0,C125605,15.907114625,0,0,0,0,9.04946875,6.119788125,0,0,0,0,12.3697959375,0,12.7821271875,0.3038195,0,0,0,0,0,0,6.011284375,2.473959375,0,14.5616475,0,0,0,0,0,0,0,0,0,14.4531403125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18043,F11,0,C125605,0,7.9210135625,0,0,0,0,26.5191,0,0,0,0,10.8506965625,22.135411875,0,0,0,0,0,0,0,0,0,20.768234375,0,18.359375,2.300346875,0,0,0,0,0,3.732625,50.88975625,0.086805625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18043,G11,0,C125605,0,0,0,15.97221875,0.1736109375,0,0,21.4843978125,0.021701375,0,0,0,0,17.947048125,0,0,24.1753465625,0,0,0,0,0,0,18.6848928125,0,0,0,0,0,3.75434375,13.4331479375,0,49.24044375,17.361108125,9.7439234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,0,18043,H11,0,C125605,8.5720428125,0,0,0,0,0,0,18.489595625,0,0,6.640628125,5.078124375,0,0,0,0,0,0,0,0,0,0,0,0,16.861974375,0,16.731786875,1.08506875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18043,A12,0,C125605,0,0,0,0,0,0,6.206603125,0.911459625,4.7309046875,0,0,0,0,0,0,0,0,0,0,0,10.0043246875,3.016494375,0,0,0,0,0,10.2430460625,0,0,0,0,0,0,0,0,12.71701875,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18043,B12,0,C125605,0,0,0,0,0,0,0,0,13.02086125,0.0434028125,0,0,0,0,14.7135229375,2.408853125,3.450520125,0,0,0,0,0,0,0,0,0,0.412325,13.4765834375,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18043,C12,0,C125605,0,0,0,13.1944496875,0,0,0,0,0,0,0,0,0,11.63193125,3.168403875,0,0,0,0,0,0,0,0,0,0,16.7968775,0,0,0,0,0,0,18.7717125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18043,D12,0,C125605,0,0,0,0,0,0,0,19.422746875,0,0,0,0,0,0,0,0,0,0,0,8.7890565625,0,0,0,0,0,0,21.527775,0,0,0,0,0,21.354145,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0
3530,1,18043,E12,0,C125605,0,0,0.021701375,18.5330125,3.8845509375,0,0,0,0,0,0,0,0,0,0,0,18.467865625,5.924478125,0,0,0,0,0,6.68403125,16.471340625,0,0,0,0,0,0,0,0,0,21.8533084375,0.021701375,0,0,0,0,0,0,0,0,0,0,0,4.23178125,20.26907525
3530,1,18043,F12,0,C125605,0,0,0,0,0,0,15.0173335625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5000125,2.517360125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18043,G12,0,C125605,0,4.5572895,0.17361125,0,0,0,0,0,8.15971875,7.921008375,0,0,0,0,10.9157971875,0.998263125,0,0,0,0,0,0,0,0,2.9296875,4.752601375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,0,18043,H12,1,C125605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3530,1,18046,A01,0,C125605,0,14.9522323125,0,0,0,15.6033295,0,0,0,16.710095125,0,0,0,0,0,0,14.9956625,0.8246523125,0,5.2734375,12.4782978125,0,0,0,0,0,15.690118125,0.7161465625,0,0,0,15.755215,0,9.526915625,0.1736110625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,B01,0,C125605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38628125,0.1519096875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,C01,0,C125605,0,0,0,0,0,0,0,0,0,15.8853929375,0,0,0,0,0,0,0,0,0,6.4887,11.9791703125,0,0,0,0,0,0,0,0,0,9.41840625,6.315088875,7.37847375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,D01,0,C125605,0,0,0,0,22.135384375,0.6076375,0,4.18835625,2.3003466875,0,0,0,22.9166778125,0,0,0,0,0,20.70313125,0,0,0,0,0,22.1137146875,0,0,0,0,0.021701375,0,19.1840446875,0,0,6.315092625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
