"bottle.id","date","casrn","chemical.id","chemical.name","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect","qc_pass"
"C844503",20190403,NA,3529,"Germ Free","6.38","2.27","0","0","6.38","0","11.36","0","0","0","0","0","0","0","0","2.27","0","0","2.27","0","0","0","19.15","19.15",TRUE
"C844503",20190404,NA,3529,"Germ Free","6.38","2.27","0","0","6.38","0","11.36","0","0","0","0","0","0","0","0","2.27","0","0","2.27","0","0","0","19.15","19.15",TRUE
