"chemical.id","conc","plate","well","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91"
3529,1,18099,"D03",0,0,4.09100008010864,1.04499995708466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349000006914139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871999979019165,0,0,0,0,0,0,2.39199995994568
3529,1,18099,"D04",0,0,0.871999979019165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97599995136261,1.17599999904633,0.349000006914139,0,0.123999997973442,0,0,0,0,2.22900009155273,0.034000001847744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820000022649765,0.407999992370605,0,0.168999999761581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.17399999499321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79399991035461,0,0,0,0,0,0
3529,1,18099,"D05",0,2.75300002098084,4.44499987363815,1.54199999570847,4.14699983596802,3.16900008916855,2.43899995088577,2.32700002193451,1.20899996161461,3.38799995183944,2.17299997806549,5.598000228405,5.29999980330467,4.3040000796318,7.14300003647804,12.6139997914433,0.361000003293157,1.62399993836879,0,1.66200003214181,0,0,2.16199994087219,0.868999987840653,2.41100005060435,3.53599998354912,1.6900000423193,7.7209998369217,6.42700016498565,5.3420000821352,1.34100000932813,2.12999993562699,1.89199995994567,6.36399984359741,9.2190003991127,4.54899999499321,4.7250000834465,0.680999994277954,3.57100009918213,5.14099982008338,2.71000003814698,1.33500003814697,2.21700003743172,2.90800001099706,2.61900010704994,3.24500006437302,1.14499996602535,5.85299980640412,5.69299995154143,1.39599996805191,1.72499996423721,2.09599995613098,1.13099998235702,1.05799996852875,4.03700004518033,2.85099989175797,4.06399989128113,0,0.760999977588654,4.90799999237061,0.884999983012676,2.28600001335144,3.9200000744313,5.64800021052361,3.30199992656708,6.13599990308285,4.45900017023087,0.971000015735626,4.54400005936623,3.06800001859665,1.86299997568131,0.0509999990463257,2.98000007867813,0.063000001013279,4.35699987411499,1.59399998188019,2.24099993705749,2.13799995183945,1.90700000524521,1.74700003862381,4.45000016689301,5.25799989700317,6.62899982929229,3.06000006198884,0.451999992132187,1.28600001335144,1.28400000929833,0.602999985218048,2.90399992465973,3.66000002622604,3.33599989116191,6.2889997959137
3529,1,18099,"D06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78600001335144,0,0,0,0,0,0,0,0.328999996185303,0,0,0,0,0,0,0,0,0.123000003397465,0.061999998986721,0,0,0,0,0,0,0
3529,1,18099,"D07",0,0,2.37700009346008,0.930999994277954,0.504000008106232,0.282999992370605,0,0,0,0,0,0.723999977111816,0.925000011920929,0.108999997377396,0,0,1.28400003910065,0.0520000010728836,0,0,0.324000000953674,1.39299997687339,0,0,0,0,0,0,0.41100001335144,2.69300007820129,0.944000005722046,0,0,0.78600001335144,0.0979999974370003,0,0.264999985694885,0,0,0.883000016212463,0,0,0,0,0.834999978542328,0.925000011920929,0,0.421000003814697,0.331999987363815,0,0,0,0,0,0,0,0.331999987363815,0.744000017642975,0,0.12899999320507,0.0710000023245811,0,0,0,0,0.384999990463257,0.347000002861023,0,0,0.610000014305115,0,0,1.49399995803833,0.958000004291534,0,2.50899988412857,0.119999997317791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,1,18099,"D08",0,0,4.43200016021729,1.24300003051758,1.93999999761581,2.19300007820129,0.712000027298927,0.34400001168251,0,0,0,0,0,0,0.439000010490417,0,0,0,0,0,0,0,0,0.727999985218048,0.166999995708466,0,1.17299997806549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709999978542328,0,0,0,0,0,0,0,0,0,0.550999999046326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,1,18099,"D09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,1,18099,"D10",0,0,1.29700005054474,2.45899999141694,0.24099999666214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2039999961853,0.787000000476837,2.82899996638298,0.0869999974966049,0,0.718999981880188,0,0,0,1.47000002861023,1.37699997425079,1.86000001430511,0.25,1.35500001907349,0.167999997735024,0,0,0,0,0,0,0.462000012397766,0,0,0,0,0,1.66499996185303,0.150999993085861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89199995994568,0.549000024795532,0.256999999284745,0,0,0,0.663999974727631,1.11199998855591,2.01299998164176,0.805999994277954,0,0,0,0,0,0.30799999833107,0,0,0,0,5.62400007247925,3,0,0,0,0,0
3529,1,18099,"D11",0.449000000953674,0,5.30999994277954,5.033000074327,0,0,0,0,0,0,0,0,0,0,0,0,0.358000010251999,0,0,0,0,0,0,0,0,0,0,0,0,3.59200000762939,0.0869999974966049,0,0,0,0,0,0,0,2.84100008010864,0.469999998807907,0,0,0.123000003397465,0,0,0,0,0,0.750999987125397,0,0,0,0,1.21700000762939,0,0,0.746999979019165,0,0,0,1.01800000667572,0,0,0,0.646000027656555,1.93499994277954,0.226000003516674,0.538999974727631,0,0,0,0,0.597000002861023,0,2.11500000953674,2.86000001430512,0,0,1.96999996900559,0,0,0,0,0.944999992847443,0.10700000077486,0,0,0,0,0,0,0
3529,1,18099,"D12",0,0,6.08399987220764,0,0.744000017642975,0.30799999833107,2.36799997091293,0.275999993085861,1.30200004577637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1139999628067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697000026702881,0,0,0,0,0,0,0,0,0.660000026226044,0.217999994754791,0,0,0,0,0,0,0,0.505999982357025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
