"well","plate.id","chemical.id","chemical.name","vp_locationcode","conc","starttime","vd_inadist","vd_smldist","vd_lardist","plate_well","total"
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1525,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1526,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1527,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1528,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1529,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1530,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1531,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1532,0,1.33399999141693,0,"18099_A01",1.33399999141693
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1533,0.843999981880188,0.485000014305115,0.137999996542931,"18099_A01",0.623000010848046
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1534,0.828999996185303,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1535,0.256999999284744,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1536,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1537,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1538,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1539,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1540,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1541,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1542,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1543,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1544,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1545,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1546,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1547,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1548,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1549,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1550,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1551,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1552,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1553,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1554,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1555,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1556,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1557,0,0,0,"18099_A01",0
"A01",18099,3529,"Germ Free","ZEBRABOX3",1,1558,0,0,0,"18099_A01",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1467,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1468,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1469,0,1.16499996185303,0,"18099_A02",1.16499996185303
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1470,0,0.643999993801117,0,"18099_A02",0.643999993801117
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1471,0,0.389999985694885,0,"18099_A02",0.389999985694885
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1472,0.17399999499321,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1473,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1474,0,0.61599999666214,0,"18099_A02",0.61599999666214
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1475,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1476,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1477,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1478,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1479,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1480,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1481,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1482,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1483,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1484,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1485,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1486,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1487,0,0.75,0,"18099_A02",0.75
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1488,0.453000009059906,1.29999995231628,0,"18099_A02",1.29999995231628
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1489,0.111000001430511,0.30799999833107,0,"18099_A02",0.30799999833107
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1490,0.123000003397465,0.493000000715256,0,"18099_A02",0.493000000715256
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1491,0.123000003397465,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1492,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1493,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1494,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1495,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1496,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1497,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1498,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1499,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1500,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1501,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1502,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1503,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1504,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1505,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1506,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1507,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1508,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1509,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1510,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1511,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1512,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1513,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1514,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1515,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1516,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1517,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1518,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1519,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1520,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1521,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1522,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1523,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1524,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1525,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1526,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1527,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1528,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1529,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1530,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1531,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1532,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1533,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1534,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1535,0,0,0,"18099_A02",0
"A02",18099,3529,"Germ Free","ZEBRABOX3",1,1536,0,0,0,"18099_A02",0
