"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1",3530,"0",0.7553,1,1,1,0.6957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6957
"2",3530,"1",0.8357,1,1,1,0.8858,0.8791,1,0.8791,1,1,1,0.8791,1,1,1,1,0.8791,1,1,1,1,1,0.8763,0.8558
