"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C844503_20190502","0","23;1;23;1","23;0;23;0","23;0;23;0","23;0;23;0","23;1;23;1","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;1;23;1"
"2","C844503_20190502","1","23;1;162;6","23;0;162;0","23;0;162;0","23;0;162;0","23;1;162;6","23;0;162;0","23;0;160;2","23;0;162;0","23;0;162;0","23;0;162;0","23;0;162;0","23;0;162;0","23;0;162;0","23;0;162;0","23;0;162;0","23;0;160;2","23;0;162;0","23;0;162;0","23;0;160;2","23;0;162;0","23;0;162;0","23;0;162;0","23;0;160;2","23;1;160;8"
