"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C125605_20190403","0","23;1;23;1","23;0;23;0","23;0;23;0","23;0;23;0","23;1;23;1","22;1;22;1","22;1;22;1","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","21;2;21;2","21;3;21;3"
"3","C125605_20190403","1","23;1;162;5","23;0;162;0","23;0;162;0","23;0;162;0","23;1;161;6","22;1;157;4","22;1;141;20","23;0;159;2","23;0;161;0","23;0;161;0","23;0;161;0","23;0;161;0","23;0;161;0","23;0;161;0","23;0;161;0","23;0;161;0","23;0;161;0","23;0;161;0","23;0;160;1","23;0;161;0","23;0;161;0","23;0;161;0","21;2;135;27","21;3;134;33"
"2","C125605_20190404","0","22;2;22;2","22;0;22;0","22;0;22;0","22;0;22;0","22;2;22;2","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;2;22;2"
"4","C125605_20190404","1","22;2;151;17","22;0;150;1","22;0;151;0","22;0;151;0","22;2;150;18","22;0;148;2","22;0;148;2","22;0;147;3","22;0;150;0","22;0;149;1","22;0;150;0","22;0;148;2","22;0;150;0","22;0;150;0","22;0;148;2","22;0;149;1","22;0;150;0","22;0;150;0","22;0;147;3","22;0;150;0","22;0;150;0","22;0;150;0","22;0;145;6","22;2;144;24"
