"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C125605","0","45;3;45;3","45;0;45;0","45;0;45;0","45;0;45;0","45;3;45;3","44;1;44;1","44;1;44;1","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","45;0;45;0","43;2;43;2","43;5;43;5"
"2","C125605","1","45;3;313;22","45;0;312;1","45;0;313;0","45;0;313;0","45;3;311;24","44;1;305;6","44;1;289;22","45;0;306;5","45;0;311;0","45;0;310;1","45;0;311;0","45;0;309;2","45;0;311;0","45;0;311;0","45;0;309;2","45;0;310;1","45;0;311;0","45;0;311;0","45;0;307;4","45;0;311;0","45;0;311;0","45;0;311;0","43;2;280;33","43;5;278;57"
