"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C125605","0",0.6613,1,1,1,0.6613,0.7528,0.7528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6918,0.63
"2","C125605","1",0.6157,0.8743,1,1,0.5542,0.7825,0.1838,0.5067,1,0.8736,1,0.7629,1,1,0.7629,0.8736,1,1,0.581,1,1,1,0.1526,0.1714
