"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"C844503_20190410","C844503","Germ Free",NA,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"C844503_20190410","C844503","Germ Free",NA,1,7,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
"C844503_20190418","C844503","Germ Free",NA,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"C844503_20190418","C844503","Germ Free",NA,1,9,0,0,0,9,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,11
