"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C844503_20190410","0",0.7553,0.7556,1,1,0.6957,0.7558,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6961,0.6669
"3","C844503_20190410","1",0.7374,1,1,1,0.7163,1,0.8757,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9983,0.8549
"2","C844503_20190418","0",0.7553,1,1,1,0.6957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6957
"4","C844503_20190418","1",0.6376,1,1,1,0.8558,0.8785,0.8785,0.8785,1,1,1,0.8785,1,1,1,1,1,1,1,1,1,1,0.7626,0.789
