"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","trans_dist","trans_PercDiff","trans_AOV_pval","significance p<0.01"
"3529","Germ Free","0",23,24,TRUE,7.193,0,0,NA
"3529","Germ Free","1",159,167,TRUE,7.937,10.334,0.701,NA
