"chemical.id","conc","Light_Cycle_Pval","Dark_Cycle_Pval","Light_Cycle_AUC","Dark_Cycle_AUC","Light_Cycle_PercDiff","Dark_Cycle_PercDiff","trans_dist","trans_PercDiff","trans_AOV_pval"
"3529","0","1","1","1882.886","22693.647","0","0","7.193","0",0
"3529","1","0","0","22865.203","149159.454","1114.37","557.274","7.937","10.334",0.701
