chemical.id,bottle.id,conc,plate.id,well,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50
3529,C844503,0,18100,H09,0,0,0,0,2.7777784375,0,0,3.754342125,0,0,0,0,0,0,0,0,0,2.34375,2.300345125,0,0,0,0,0,3.3420134375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,0,18100,H10,0,0,7.031253125,11.328141375,0,0,0,0,0,0,0,0,0,6.9878315625,0,0,0,15.03905375,0,0,0,0,0,0,0,24.9999845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,0,18100,H11,9.049485,0,0,0,0,0,0,0,0,0,2.5173610625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2143978125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,0,18100,H12,0,0,0,0,0,0,0,5.44705,0.6727430625,0,0,12.868917,0,0,0,0,0,0,0,0,0,0,8.8324565625,15.104167,0,0,0,0,0,0,0,0,7.638873875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,A01,0,0,0,0,0,0,0,0,0,0,0,0,2.7343766875,0,0,7.46526875,3.47222125,0,0,0,0,0,0,3.86284375,8.28993825,6.2282915625,0.60764,0,0,0,2.32205,12.0225840625,0,16.7534746875,0.4991304375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,A02,0,3.23350625,0,0,13.5199625,1.1501745,0,0,0,0,0,6.271710125,0,12.9774509375,0.108506875,0,0,0,0,0,0,0,0,5.794271875,0.2387153125,0,0,0,18.77167625,0.021701375,0,1.9097225,28.6458115625,37.84724,20.920123125,11.8923628125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,A03,0,0,0,0,7.335066875,9.80902375,9.61371875,0.3255209375,0,0.78125,6.4019123125,0,0,0,10.828991375,0,0,0,0,0,0,0,0,0,0,0.021701375,10.50346125,0,0,0,0,0,8.94097125,0.84635575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,A04,4.79600625,1.69270825,0,0,0,3.2335103125,12.4348959375,0,0,0,0,18.85851,5.51215375,0,0,0,0,0,17.25259,0,0,0,0,0,8.615460625,6.0763903125,0,0,0,0,14.930551375,0,17.4479241875,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,A05,0,0,0,3.472222625,0,8.767376875,0,0,0,0,0,1.280382125,0,0,0,0,0,0,0,0.7378479375,8.3767221875,1.3454865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0
3529,C844503,1,18099,A06,0,0,0,0.021701375,3.4939235625,0,0,0,0,0.021701375,0,0,4.492200875,0.021701375,0,0,0,0,4.513888875,0.4340274375,0,0,4.4053815625,0,0,0,0,0,4.9913205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,A07,0,3.906248875,0,0,0,4.6657991875,14.9956554375,0,0,0,0,0,6.684021875,0.13020825,11.00260875,1.236976375,0,0,0,12.890625,1.3671899375,0,0,0,0,7.248263125,0.0651041875,0,0,0,0,0,0.347221875,11.89238575,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0
3529,C844503,1,18099,A08,0.1302084375,0,0,0,1.019965625,18.402775,0,0,0,0,0,6.076390625,0,0,0,9.72221875,6.618910625,0,0,0,0,0,0,0,0,0,17.730025,0.021701375,0,0,0,0,17.491321875,5.0998278125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,A09,0,7.5303846875,0,11.82725125,0.1519096875,0,0,0.021701375,0,0,0,0,0,0,0,6.011287625,0.0651040625,0,6.6406268125,0,0,0,0.390625,9.9392435625,0,0,0,5.9678834375,0.0651040625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,A10,0.824651375,3.9279524375,0.3472223125,0,0,0,0,0,4.513887125,0,0,0.021701375,2.1701391875,0,0,0,0,2.734375,0.88975825,0,1.4539925,2.039932,0,3.754337625,0.1519095,0,0,0,2.647568125,0,2.4088541875,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
