"plate_id","bottle_id","chemical_id","chemical_name","value","units"
18101,"C125605",3530,"Non Germ Free",1,"uM"
18101,"C125605",3530,"Non Germ Free",0,""
18102,"C125605",3530,"Non Germ Free",1,"uM"
18102,"C125605",3530,"Non Germ Free",0,""
