"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1",3530,"0",0.6613,1,1,1,0.6205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6205
"2",3530,"1",0.9492,1,1,1,0.961,0.7771,0.6846,0.6846,0.8817,0.8817,1,0.6846,1,1,0.8817,0.8817,1,1,0.7771,1,1,1,0.5939,0.9229
