"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"C844503","C844503","Germ Free",NA,0,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"C844503","C844503","Germ Free",NA,1,16,0,0,0,22,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,25
