"well","plate.id","chemical.id","chemical.name","vp_locationcode","conc","starttime","vd_inadist","vd_smldist","vd_lardist","plate_well","total"
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1467,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1468,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1469,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1470,0,3.67899990081787,0,"18032_A01",3.67899990081787
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1471,0.123000003397465,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1472,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1473,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1474,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1475,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1476,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1477,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1478,0,1.11600005626678,0,"18032_A01",1.11600005626678
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1479,0.569999992847443,1.12999999523163,0,"18032_A01",1.12999999523163
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1480,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1481,0.607999980449677,0.456999987363815,0,"18032_A01",0.456999987363815
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1482,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1483,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1484,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1485,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1486,0,0.896000027656555,0,"18032_A01",0.896000027656555
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1487,0.493000000715256,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1488,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1489,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1490,0,0.523000001907349,0,"18032_A01",0.523000001907349
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1491,0.246999993920326,0.745000004768372,0,"18032_A01",0.745000004768372
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1492,0,3.59299993515015,0,"18032_A01",3.59299993515015
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1493,0.061999998986721,2.45600008964539,0,"18032_A01",2.45600008964539
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1494,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1495,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1496,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1497,0.647000014781952,1.0900000333786,0,"18032_A01",1.0900000333786
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1498,0.609000027179718,0.349999994039536,0,"18032_A01",0.349999994039536
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1499,0.606000006198883,2.44099998474121,0,"18032_A01",2.44099998474121
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1500,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1501,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1502,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1503,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1504,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1505,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1506,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1507,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1508,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1509,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1510,0,0.899999976158142,0,"18032_A01",0.899999976158142
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1511,0.185000002384186,0.061999998986721,0,"18032_A01",0.061999998986721
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1512,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1513,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1514,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1515,0.620999991893768,0.560000002384186,0,"18032_A01",0.560000002384186
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1516,0.388999998569489,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1517,0.435000002384186,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1518,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1519,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1520,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1521,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1522,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1523,0,0.497999995946884,0,"18032_A01",0.497999995946884
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1524,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1525,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1526,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1527,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1528,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1529,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1530,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1531,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1532,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1533,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1534,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1535,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1536,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1537,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1538,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1539,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1540,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1541,0,3.24000000953674,0,"18032_A01",3.24000000953674
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1542,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1543,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1544,0,0.314000010490417,0,"18032_A01",0.314000010490417
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1545,0.398999989032745,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1546,0.247999995946884,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1547,0.328999996185303,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1548,0,0,0,"18032_A01",0
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1549,0.804000020027161,0.17399999499321,0,"18032_A01",0.17399999499321
"A01",18032,3529,"Germ Free","ZEBRABOX3",1,1550,0.493999987840652,0,0,"18032_A01",0
