"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","Peak.no","Peak_dist","Peak.pval","PeakDiff","significance p<0.05"
"3529","Germ Free",0,23,24,TRUE,"3",1.618,1,0,NA
"3529","Germ Free",1,159,167,TRUE,"3",2.167,0.468,33.918,NA
