"chemical.id","conc","Light_Cycle_Pval","Dark_Cycle_Pval","Light_Cycle_AUC","Dark_Cycle_AUC","Light_Cycle_PercDiff","Dark_Cycle_PercDiff","trans_dist","trans_PercDiff","trans_AOV_pval"
"3529","0","1","1","2425.637","39621.995","0","0","5.785","0",0
"3529","1","0","0","38807.293","313035.909","1499.88","690.056","6.825","17.989",0.445
