"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","trans_dist","trans_PercDiff","trans_AOV_pval","significance p<0.01"
"3529","Germ Free","0",43,48,TRUE,5.785,0,0,NA
"3529","Germ Free","1",310,335,TRUE,6.825,17.989,0.445,NA
