"bottle.id","date","casrn","chemical.id","chemical.name","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect","qc_pass"
"C844503",20190410,NA,3529,"Germ Free","4.17","2.17","0","0","8.33","2.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.35","10.42",TRUE
"C844503",20190418,NA,3529,"Germ Free","4.17","2.17","0","0","8.33","2.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.35","10.42",TRUE
