"plate_id","bottle_id","chemical_id","chemical_name","value","units"
18040,"C844503",3529,"Germ Free",1,"uM"
18040,"C844503",3529,"Germ Free",0,""
18041,"C844503",3529,"Germ Free",1,"uM"
18041,"C844503",3529,"Germ Free",0,""
18044,"C844503",3529,"Germ Free",1,"uM"
18044,"C844503",3529,"Germ Free",0,""
18045,"C844503",3529,"Germ Free",1,"uM"
18045,"C844503",3529,"Germ Free",0,""
