"chemical.id","conc","plate","well","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92","t93","t94","t95","t96","t97","t98","t99","t100","t101","t102","t103","t104","t105","t106","t107","t108","t109","t110","t111","t112","t113","t114","t115","t116","t117","t118","t119","t120","t121","t122","t123","t124","t125","t126","t127","t128","t129","t130","t131","t132","t133","t134","t135","t136","t137","t138","t139","t140","t141","t142","t143","t144","t145","t146","t147","t148","t149","t150","t151","t152","t153","t154","t155","t156","t157","t158","t159","t160","t161","t162","t163","t164","t165","t166","t167","t168","t169","t170","t171","t172","t173","t174","t175","t176","t177","t178","t179","t180","t181","t182","t183","t184","t185","t186","t187","t188","t189","t190","t191","t192","t193","t194","t195","t196","t197","t198","t199","t200","t201","t202","t203","t204","t205","t206","t207","t208","t209","t210","t211","t212","t213","t214","t215","t216","t217","t218","t219","t220","t221","t222","t223","t224","t225","t226","t227","t228","t229","t230","t231","t232","t233","t234","t235","t236","t237","t238","t239","t240","t241","t242","t243","t244"
3529,1,18033,"F09",4.98499999195337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86100006103516,0.628000020980835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44500005245209,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39999997615814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19199991226196,2.4210000038147,0.790000021457672,0,0,0,1.48000001907349,1.2849999666214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28299999237061,0,0,0,0,0,0,0,0,0,0,0,0,2.35899996757507,2.55399990081787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05299997329712,0,0,0,0,0,0,0,2.13800001144409,0,0,0,0
3529,1,18033,"F10",2.98699988424778,1.68900001049042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56499981880188,2.46600008010864,5.35599994659424,6.74000012874604,1.97399997711182,0,7.20199990272522,2.3979999423027,2.36000001430511,4.30899995565414,8.36099994182587,1.71599996089935,1.375,0,9.89099979400635,9.17000007629394,6.13400006294251,2.89299998432398,10.8729996681213,3.54300004243851,1.30999994277954,1.46700000762939,3.69099998474122,11.8720002174377,7.27100002765655,5.73399996757507,3.99000012874604,3.39299988746643,1.60800004005432,3.20500004291534,4.71600008010864,12.8570002317428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1029999256134,2.31499994546175,1.13800001144409,10.208000421524,1.38100004196167,3.36000001430512,1.02600002288818,5.42599987983704,1.88799999561161,4.04900002479553,1.43799996376038,1.37000002898276,0.662999987602234,0.901000022888184,1.3309999704361,0,0,0,4.59499990940094,2.77999997138977,0,0,0,0,0,0,1.92299994826317,0,1.23199999332428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72199964523315,0,0,2.90700003504753,0,0,0,0,0,0,0,0,1.85599998384714,0,0,0,4.47699999809265,0,1.69400000572205,1.03999996185303,2.1800000667572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49000000953675,4.02200007438659,0,0,0,0,0,8.11599993705749,0,0,0,0,0,1.99599998444318,0,0,0,1.56700003147125,4.07800006866455,0,0,0.559000015258789,0,0,0.569000005722046,0.700999975204468,0,0,0,0
3529,1,18033,"F11",13.0590000152588,2.13800001144409,0.222000002861023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897000014781952,3.94000005722046,1.52099998295307,2.12299990653992,3.27900010347367,31.9809992313385,29.5639991760254,27.9300000667572,26.6910004615784,25.5300002098084,25.6569995880127,25.4649999141693,23.2790005207062,25.0820002555848,14.905999660492,18.2850003242493,19.2659997940064,23.5019989013672,17.7609996795654,18.9650001525879,15.7869997024536,12.804000377655,16.9170002937317,25.6449999809265,16.3519997596741,20.8979997634887,22.2299995422363,13.566999912262,23.3089995384216,14.2109999656677,23.5719995498657,20.8519997596741,20.7380008697509,23.4840002059936,26.1029996871948,19.0020008087158,0.583999991416931,1.26800000667572,1.17700004577637,0,0,1.0110000371933,0,1.87199997901917,0.60699999332428,0.46000000834465,3.25399994850159,3.06399992108345,0.939999997615814,5.25799989700317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2690000534057,36.1470017433167,26.3419995307922,19.3959994316101,35.2369999885559,17.7620000839233,22.3020000457763,15.8589997291565,15.2759997844696,18.9749994277954,23.6549997329712,29.8099992275238,19.2820000648498,27.6800003051757,25.7819995880127,12.5359997749329,23.258999824524,27.6629996299743,20.1710005998612,23.724000453949,24.3039989471436,22.5890002250672,21.0479998588562,27.0150005817413,22.5750002861023,23.6579999923706,19.411999464035,16.8880004882812,23.2369990348816,21.5369997024536,9.79199981689453,2.12899994850159,0.985000014305115,1.52199995517731,0.448000013828278,0.630999982357025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5430006980896,29.3909997940064,19.5010004043579,26.0629999637603,19.4720001220703,23.316999912262,25.7849998474121,18.5929999351502,21.8919992446899,20.7470002174377,23.8590002059937,21.7750005722046,19.4910004138946,20.0050001144409,22.5519992113114,20.5019991397857,20.7370004653931,25.1360011100769,27.077000617981,17.7899999618531,19.3769998550415,23.3219990730285,25.5820007324218,21.6690001487732,11.860000371933,17.9709997177124,20.8850002288818,21.9900002479554,17.1209998130799,10.9539999961853,5.71000003814697,1.34700000286102,1.00199997425079,1.06400001049042,1.96399998664856,1.67799997329712,0.75900000333786,3.01200008392334,2.36099991202355,1.51900005340576,1.83899998664856,2.76799994707107,2.49399995803833,2.22400000691414,0.59799998998642,4.36700004339218,1.23000001907349,0.236000001430511,2.78600001335144,0.98199999332428,14.6760001182556,0.654999971389771,1.64300000667572,4.5019998550415,1.47099995613098,2.14100003242493,4.21999979019165,2.72099995613098,1.90299999713898,0.717999994754791,19.3829998970032,24.05299949646,19.6670002937317,25.9299998283387,20.9900002479554,23.4879999160766,27.3050007820129,24.8149991035461,20.9819993972778,26.2889995574951,10.8959999084473,17.5269994735718,16.0609998703003,18.4839999675751,15.4030003547668,20.0519995689392,19.6170001029969,26.5859994888306,19.4939994812012,16.0829997062683,14.7569994926453,21.8460006713868,19.5339994430542,21.5810000896454,18.7239995002747,20.1459994316101,18.5550000667572,23.0900006294251,20.3000001907348,24.0530004501343,8.45899987220764,2.07699990272522,1.00600004196167,1.99300003051758,1.54999995231628
3529,1,18033,"F12",13.4069995880127,8.69600009918213,0.814999997615814,0,0,0,0,0,0,0,0,0,0,2.23300004005432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71000003814697,30.5890009403228,16.3769998550415,20.5289993286133,9.62200009822846,15.4989998340607,20.4730000495911,14.1070001125336,10.4390001296997,12.4650003910065,15.0579996109009,18.0590000152587,5.3600001335144,15.0750002861023,21.6329994201661,9.87400031089783,15.6290001869202,7.4319999217987,9.19299983978272,11.0950002670288,8.42900013923645,17.4139995574951,13.389000415802,20.6059999465942,13.3610000610352,11.8059997558594,18.8259997367859,14.8539996147156,21.708999633789,8.43800020217895,0.864000022411346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2599997520447,32.0169997215271,30.4169998168946,23.7689995765686,20.0930004119873,21.6630007028579,7.48199987411499,19.7750005125999,10.0079998970032,25.0109994411468,21.6860003471375,19.7649993896484,10.8189997673035,15.4330003261566,12.5820004940033,19.4930005073547,15.7800002098083,17.9210000038147,18.8830003738404,22.7059998512268,14.7470004558563,12.6850001811981,19.0589995384216,10.9560004472733,9.24399995803833,9.23600006103515,15.4329998493195,19.1790002584457,12.7439999580383,7.20500016212463,11.1470003128052,2.18199992179871,0,0,0,0,0,0.971000015735626,0.209999993443489,3.27700006961823,2.1470000743866,0,2.41300010681152,8.23699975013733,3.48799991607666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02499985694885,34.1340000629425,20.3729997873306,18.1969995498658,8.7059998512268,7.78800010681152,9.87499988079071,14.2009997367859,23.6329996585846,19.5630004405976,13.8430004119873,12.9100000858307,5.69599986076355,10.5809998512268,14.9389997720719,13.8819999694824,8.85599994659424,5.49799990653992,12.7810006141663,14.4249997138977,12.2610001564026,10.6690001487732,11.5949997901917,14.4850001335144,9.51799964904785,12.2739996910095,9.87599992752075,9.95900011062622,16.1050000190735,15.6359996795654,17.5549998283386,0.666000008583069,0,1.54200005531311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1340003013611,22.0840001106262,27.1180000305175,17.9170005321503,13.5220003128052,22.1819996833801,6.75800023972988,16.6229996681214,18.5780000686646,17.4969997406006,19.4289999008178,15.25,14.1230001449585,21.1240005493165,17.3140006065369,22.1620006561279,16.8979995250702,0.492000013589859,15.5940003395081,7.69400024414062,10.680999994278,11.9689998626709,12.210000038147,22.5729999542236,15.2519998550415,16.5129995346069,9.94900035858155,3.92500007152558,20.5180006027222,16.8699998855591,16.7870001792908,11.5460000038147,0,0,0
3529,1,18033,"G01",4.35399997234345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6780004501343,17.1589998006821,18.1609996557235,15.3489995002747,13.4010000228882,13.6699995994568,16.4609994888305,16.1609997749329,13.3570003509521,19.6620004177093,14.6500000953674,19.0079998970032,26.0450005531311,18.3739995956421,21.112999200821,19.9890003204346,15.6450004577637,20.8120002746582,15.8220003843308,12.0650000572205,20.2230005264282,21.0759997367859,19.7840006351471,14.6239995956421,27.6110005378723,13.4059996604919,13.9829998016357,20.25,12.3899998664856,21.1749992370606,31.0629994869232,2.85699999332428,0.749000012874603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8540005683899,14.7389998435974,20.6000008583069,24.3200006484986,21.4670000076294,18.3670001029969,15.9849996566773,19.7469992637634,10.1960000991821,13.8109998703003,23.6599996089935,15.9769997596741,15.6280002593994,13.8390002250671,18.4709992408753,22.9890003204346,18.8159999847413,7.14599990844727,17.6440000534058,23.315999507904,21.5760006904602,18.8739998340607,15.9490000009537,15.0150003433228,16.2419996261596,7.08999991416931,11.0279998779297,11.6640001535415,25.0809998512268,8.19199991226196,2.26900005340576,0.566999971866608,3.32800006866455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62800002098083,8.9430000782013,4.875,14.9490002393722,12.1449999809265,15.1600000858307,10.907999753952,9.84899997711182,10.7099995613098,14.0400004386902,15.485000371933,7.61400020122528,16.7549996376038,10.0359996557236,24.0799994468689,16.5659999847412,19.8869992494583,10.9190001487732,14.4920003414154,21.7069997787475,19.8639991283417,14.3129997253418,19.5899996757508,22.3129997253418,26.9289999008179,28.9219994544983,19.9090003967285,17.9249999523162,12.5009999275208,21.4589993953705,14.708000421524,0.437999993562698,1.43799996376038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4300000667572,23.7399995326996,10.6119999885559,9.88199996948243,7.82200026512146,13.1099998950958,19.3480000495911,12.8860001564026,15.1809996366501,16.0369998216629,9.80899977684021,14.605000257492,20.4540004730225,19.349000453949,15.2869999408722,18.0229997634888,14.2370004653931,17.7479999065399,36.6449987888336,19.8010005950928,24.6539998054504,9.13899993896484,10.1640000343323,14.1579995155334,24.3110008239746,9.19900012016297,23.2430005073548,15.3939995765686,14.5440001487732,13.0900003910065,0.375,0.53600001335144,0,0
3529,1,18033,"G02",11.646999835968,1.88399994373322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13100004196167,0,0,0,0,0,0,0,6.51799988746643,15.2270000874996,21.7769999504089,19.0939998626709,24.6930007934571,21.7170000076294,22.4020009040832,11.8489997386932,22.5199995040893,21.7329993247986,20.9339995384217,19.0309996604919,17.9129996299744,19.306999206543,23.6040000915527,10.8510003089905,7.42600011825561,8.93499994277954,5.2170000076294,5.932000041008,12.0939998626709,12.7690000534058,15.4289999008179,14.9440002441406,15.6319994926453,13.9260001182556,16.1730003356934,9.23300015926361,21.496000289917,8.38999986648559,6.45100021362305,0.940999984741211,0.34799998998642,0.123000003397465,0,1.20700001716614,0,0,0,0,0,0,0,0,0,0,0,0,0.876999974250793,0,0,0,0,0,0,0,0,0,0,0,2.45300006866455,18.9640002250671,12.1510000228882,25.7320008277893,15.9420003890991,18.3649997711182,15.9509997367859,10.1999998092651,15.0120005607605,15.4429998397827,17.3340001106262,19.9569997787475,17.5629997253418,11.4519999027252,10.853000164032,12.0130000114441,5.56900000572205,16.7079997062683,12.1810002326965,14.1159996986389,7.88399982452392,17.2729997634888,9.4599997997284,16.7799997329712,14.032000541687,11.3809998035431,9.44799995422363,7.36900019645691,14.7720003128052,10.7080001831055,18.7620000839233,0.777999997138977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00499987602234,23.2850003242492,21.9860000610352,17.9530000686646,15.67799949646,18.4939999580384,12.316999912262,4.52499997615815,17.0330004692077,11.9609999656677,15.7069997787476,9.01199960708618,12,5.60899990797043,12.7320002913475,6.31800007820129,7.38699984550476,8.23799991607666,6.7039999961853,7.74700007587671,11.1049995422363,10.7509999275208,8.8689997792244,5.4210000038147,6.50700008869171,9.86600017547608,13.5089998245239,10.7189998626709,13.8120000362396,15.4879994392395,0.444000005722046,0,8.99200010299682,0,0,0,0,0,0,0,0,0,1.15199995040894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802999973297119,26.9700002670288,17.3269996643066,18.2659997940064,0.444000005722046,0,0,0,11.4930002689362,13.9190001487732,16.1369996070862,14.8289995193481,18.6070003509521,20.0139999389649,8.45199990272522,6.26000021398067,17.5789999961853,8.23800015449524,0.991999983787537,4.21900010108947,4.17199993133545,6.74499988555908,11.9359998703003,9.39400005340576,8.7189998626709,8.64699995517731,10.0019998550415,3.19400000572205,9.2409998178482,10.0729999542236,10.6959998607635,2.89300000667572,0,0.529999971389771,0,0
3529,1,18033,"G03",15.9130001068116,2.49300003051758,0.886000007390975,0.595000028610229,0,2.11100003123283,1.10899996757507,1.23099994659424,1.63399994373322,1.03600001335144,0,1.07799994945526,1.24899995326996,1.68999996781349,0.575999975204468,0,1.3400000333786,1.04900002479553,1.35699999332428,0.842000007629395,0.968999981880188,0,0,0,0,0,0,0,0,0,15.4710006713867,24.476999759674,23.0310006141663,14.0040001869202,22.9010009765625,9.0149998664856,22.8309988975525,13.6189999580383,27.6930003166199,13.9470000267029,15.5619995594025,24.5950002670288,18.5640001296997,22.2790002822876,20.8980002403259,8.87000012397766,19.9040007591247,27.0829997062684,27.1170001029968,25.1839995384216,20.9719996452331,21.9650001525879,19.771999835968,26.136999130249,14.9310002326965,21.5899996757507,22.9750003814697,20.6879997253418,20.30299949646,16.3899998664855,7.70699977874756,1.99000000953674,1.1360000371933,0.27700001001358,0,0,0.742999970912933,0.968999981880188,3.73099994659424,0.456999987363815,0,0,0,0.717999994754791,0.275000005960464,0.24600000679493,0.497999995946884,0,0.580999970436096,0,0.550999999046326,0,0.368999987840652,0,0.275000005960464,0,0.36599999666214,0.314000010490417,0.419999986886978,0.374000012874603,17.4589998722077,20.6909992694854,27.8079996109008,25.503999710083,25.7090005874634,22.5999994277954,24.2380003929138,19.7650003433228,25.1109991073609,19.4120001792908,21.6090006828308,22.5740005970001,28.8750004768372,26.4180002212524,21.4359993934632,14.8319997787476,27.114999294281,21.4060001373291,22.6149997711181,22.9140002727509,20.0100002288818,24.5750002861023,23.5469994544983,22.9440007209778,28.5780005455017,23.1399998664856,16.4019999504089,40.3289995193482,21.5300006866455,26.8240003585815,16.4179997444153,2.50699996948242,0.388999998569489,3.16400003433228,0.595000028610229,0,0.522000014781952,0.368999987840652,0,0,0,0.697000026702881,0,0,0.749000012874603,0.753000020980835,0,0.388999998569489,0.24600000679493,0,0.448000013828278,0.388999998569489,0,0.77700001001358,0,0,1.30299997329712,1.05900001525879,0.375,0.595000028610229,24.2789999246597,22.3139991760254,18.478000164032,21.8359999656677,22.3350005149841,22.8150010108947,1.567999958992,2.30599999427795,7.44900012016296,20.878999710083,23.8299999237061,23.7610001564026,27.89200091362,18.4629998207092,22.3550002574921,24.3460001945495,20.6649994850158,20.1889991760254,29.1290001869202,18.9970004558563,21.0590000152587,20.7210001945496,25.0950002670288,29.5620002746582,28.2859992980957,23.1829991340637,26.0089998245239,23.8590002059936,22.820999622345,26.6150000095368,25.8299994468689,3.36899995803833,4.2649998664856,0.522000014781952,0,0,0.448000013828278,0,0.654999971389771,2.5109998807311,0.647000014781952,0.503000020980835,0.061999998986721,0.449000000953674,0.123000003397465,0.462000012397766,3.1489999294281,0.493999987840652,0.356000006198883,1.02799999713898,0.709999978542328,2.37299990653992,6.02700006961823,2.74300003051758,0.508000016212463,0,0.261000007390976,1.98199999332428,0.515999972820282,1.64400005340576,19.8190009593963,17.5789999961853,14.9079999923706,23.5719995498658,12.7219996452332,30.0859999656677,25.3770008087158,29.893000125885,22.4369993209839,25.7569999694825,26.585000038147,22.9000000953674,26.6410007476807,21.0959997177124,28.2939996719361,21.2930002212524,24.6729993820191,8.49899983406067,17.5499997138977,24.0629997253418,30.6420001983643,20.787000656128,18.5379996299744,20.5009999275208,29.902999162674,28.6320004463196,21.5610008239746,13.5629999637604,29.6180009841919,26.2519991397858,17.9320006370545,1.00699996948242,1.33399997651577,0.388999998569489,0
