"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","trans_dist","trans_PercDiff","trans_AOV_pval","significance p<0.01"
"3530","Non Germ Free","0",24,24,TRUE,1.6,0,0,NA
"3530","Non Germ Free","1",161,165,TRUE,3.118,94.905,0.358,NA
