"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","Peak.no","Peak_dist","Peak.pval","PeakDiff","significance p<0.05"
"3530","Non Germ Free",0,43,48,TRUE,"4",1.409,1,0,NA
"3530","Non Germ Free",1,277,334,TRUE,"4",2.041,0.477,44.787,NA
