"chemical.id","bottle.id","chemical.name","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"C125605","C125605","Non Germ Free",0,6.25,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
"C125605","C125605","Non Germ Free",1,2.69,0,0,0,6.29,0.64,0.96,0.96,0.32,0.32,0,0.96,0,0,0.32,0.32,0,0,0.64,0,0,0,1.23,7.49
