"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C125605","0","45;3;45;3","45;0;45;0","45;0;45;0","45;0;45;0","42;6;42;6","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","42;0;42;0","45;0;45;0","42;6;42;6"
"2","C125605","1","45;3;325;9","45;0;325;0","45;0;325;0","45;0;325;0","42;6;313;21","42;0;311;2","42;0;310;3","42;0;310;3","42;0;312;1","42;0;312;1","42;0;313;0","42;0;310;3","42;0;313;0","42;0;313;0","42;0;312;1","42;0;312;1","42;0;313;0","42;0;313;0","42;0;311;2","42;0;313;0","42;0;313;0","42;0;313;0","45;0;321;4","42;6;309;25"
