chemical.id,bottle.id,conc,plate.id,well,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50
3530,C125605,0,18102,H06,15.9505203125,0,0,0,0,0,0,0,0,0,5.46876575,11.892365625,0.846353125,6.944445125,0,5.729167875,5.5989605625,0.04340275,0,0,14.605032625,0,7.5520854375,0,0,0,0,0,0,0,15.299468125,0,8.9409740625,0,0,9.2881965625,12.2178766875,0.260416875,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18102,H07,0,7.66059125,0,3.25521875,4.991320125,0,2.84288125,0,10.0260396875,0,10.568577625,4.2751734375,0,0,0,0,7.9210091875,2.734375,0.3906250625,0,0,0,0,0,0,2.4956598125,0.0434028125,6.011286875,0,0,7.07463775,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0
3530,C125605,0,18102,H08,1.6059029375,0,0,0,0,10.329846875,6.032985125,14.64845,0.2821180625,0,0,4.9262296875,0,0.021701375,0,18.25086875,0,0,0,0,17.86025,3.7326398125,0,0,0,4.40538125,8.289932625,0,4.0364615625,1.1501734375,52.842884375,33.094606875,17.1440966875,24.1753799375,9.570303125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18102,H09,0,0,14.973978125,2.03993125,0,0,0,15.646683125,0,0,0,0,0,8.4852265625,0,0,0,0,0,13.4982665625,3.1684040625,0,0,0,0,0,0,0,15.5599025,0,16.0807340625,0.6944434375,0,14.25781875,0.412325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18102,H10,0,0,0,16.57984375,0,0,0,0,0,0,17.66495,0,0,0,0,0,0,0,0,0,6.6623161875,0,5.70745,1.9314235625,0,9.13628125,11.892365625,0,0,0,0,11.8055375,21.7447884375,13.389751375,10.829003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18102,H11,0,5.1866315625,0,0,0,0,0,0,0,4.51388825,2.17014025,2.0616328125,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8394125,0.5425345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18102,H12,1.475693125,1.8229165,0,0,0,5.403644,0,0,0,0,0,0,3.77604075,0.2387154375,0,0,0,4.0364585625,0,0,0,0,0,0,0,0,0,0,0.716145625,0.130208375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18101,A01,0,14.648431375,0,5.338541875,0.1953125,0,0,0,0,0,0,13.1076378125,0,0,0,0,0,0,0,0,4.6875,2.126736875,0.021701375,0,0,0,0,0,0,15.1909709375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18101,A02,0,0,3.081595125,0,6.358503125,0.151909625,0,0,4.34027875,0.2387153125,0,0,8.7239441875,0,0,0,2.9079875,1.128472125,0,0,7.5520836875,0,3.103300125,0,0,0,5.7074628125,0,0,0,0,0,0,0,0,0,0,0,0,8.15973375,2.3003471875,0,0,0,0,0,0,0,0,0
3530,C125605,1,18101,A03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
