"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C125605","0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0","24;0;24;0"
"2","C125605","1","24;0;163;3","24;0;163;0","24;0;163;0","24;0;163;0","24;0;163;3","24;0;162;1","24;0;162;1","24;0;163;0","24;0;163;0","24;0;163;0","24;0;163;0","24;0;163;0","24;0;163;0","24;0;163;0","24;0;163;0","24;0;162;1","24;0;163;0","24;0;163;0","24;0;162;1","24;0;163;0","24;0;163;0","24;0;163;0","24;0;162;1","24;0;162;4"
