Plate_id,GFD_date,Log_date,Dead_wells,Still_in_chorion
000018046,2019-04-18,2019-04-24,D2,
000018046,2019-04-18,2019-04-24,C2,
000018046,2019-04-18,2019-04-24,A11,
000018046,2019-04-18,2019-04-24,H11,
000018047,2019-04-18,2019-04-24,A8,E11
000018047,2019-04-18,2019-04-24,B9,
000018047,2019-04-18,2019-04-24,E10,
000018045,2019-04-18,2019-04-24,A1,
000018045,2019-04-18,2019-04-24,A3,
000018045,2019-04-18,2019-04-24,C10,
000018045,2019-04-18,2019-04-24,A12,
000018044,2019-04-18,2019-04-24,F1,
000018044,2019-04-18,2019-04-24,G2,
000018044,2019-04-18,2019-04-24,H3,
000018044,2019-04-18,2019-04-24,H5,
000018044,2019-04-18,2019-04-24,G7,
000018044,2019-04-18,2019-04-24,D8,
000018044,2019-04-18,2019-04-24,F10,
000018044,2019-04-18,2019-04-24,F12,
000018044,2019-04-18,2019-04-26,F1,
000018044,2019-04-18,2019-04-26,G2,
000018044,2019-04-18,2019-04-26,H3,
000018044,2019-04-18,2019-04-26,H5,
000018044,2019-04-18,2019-04-26,G7,
000018044,2019-04-18,2019-04-26,D8,
000018044,2019-04-18,2019-04-26,F10,
000018044,2019-04-18,2019-04-26,F12,
000018045,2019-04-18,2019-04-26,A1,
000018045,2019-04-18,2019-04-26,A3,
000018045,2019-04-18,2019-04-26,C10,
000018045,2019-04-18,2019-04-26,A12,
000018047,2019-04-18,2019-04-26,E6,
000018047,2019-04-18,2019-04-26,A8,
000018047,2019-04-18,2019-04-26,B9,
000018047,2019-04-18,2019-04-26,E10,
000018047,2019-04-18,2019-04-26,E11,
000018046,2019-04-18,2019-04-26,A1,
000018046,2019-04-18,2019-04-26,D2,
000018046,2019-04-18,2019-04-26,C2,
000018046,2019-04-18,2019-04-26,B2,
000018046,2019-04-18,2019-04-26,G6,
000018046,2019-04-18,2019-04-26,C7,
000018046,2019-04-18,2019-04-26,E9,
000018046,2019-04-18,2019-04-26,A11,
000018046,2019-04-18,2019-04-26,H11,
