"Chemical","conc","Interval","N","AUC","RelativeRatio","P value","Activity"
"Non Germ Free",1,"Dark",158,61.443,0.097,"0",NA
"Non Germ Free",1,"Light",158,49.949,3.38,"0","HYPER"
