"chemical.id","chemical.name","interval","total.no.conc","no.conc.used.for.analysis","no.conc.w.sig.hits","LEL"
"3530","Non Germ Free","Dark",2,2,0,NA
"3530","Non Germ Free","Light",2,2,0,NA
