"chemical.id","conc","Light_Cycle_Pval","Dark_Cycle_Pval","Light_Cycle_AUC","Dark_Cycle_AUC","Light_Cycle_PercDiff","Dark_Cycle_PercDiff","trans_dist","trans_PercDiff","trans_AOV_pval"
"3530","0","1","1","2364.425","22952.274","0","0","2.549","0",0
"3530","1","0","0","13825.254","147825.121","484.72","544.054","2.634","3.357",0.934
