"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","trans_dist","trans_PercDiff","trans_AOV_pval","significance p<0.01"
"3530","Non Germ Free","0",43,48,TRUE,2.549,0,0,NA
"3530","Non Germ Free","1",277,334,TRUE,2.634,3.357,0.934,NA
