"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","Peak.no","Peak_dist","Peak.pval","PeakDiff","significance p<0.05"
"3530","Non Germ Free",0,24,24,TRUE,"4",2.611,1,0,NA
"3530","Non Germ Free",1,161,165,TRUE,"4",2.307,0.219,-11.65,NA
