"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","trans_dist","trans_PercDiff","trans_AOV_pval","significance p<0.01"
"3529","Germ Free","0",38,47,TRUE,8.425,0,0,NA
"3529","Germ Free","1",271,335,TRUE,9.549,13.341,0.485,NA
