"well","plate.id","chemical.id","chemical.name","vp_locationcode","conc","starttime","vd_inadist","vd_smldist","vd_lardist","plate_well","total"
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1467,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1468,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1469,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1470,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1471,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1472,0,2.83800005912781,0,"18101_A01",2.83800005912781
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1473,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1474,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1475,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1476,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1477,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1478,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1479,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1480,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1481,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1482,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1483,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1484,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1485,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1486,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1487,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1488,0.368999987840652,4.28499984741211,0,"18101_A01",4.28499984741211
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1489,0.876999974250793,0.061999998986721,0,"18101_A01",0.061999998986721
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1490,0.0560000017285347,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1491,0.111000001430511,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1492,0.368000000715256,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1493,0.551999986171722,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1494,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1495,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1496,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free","ZEBRABOX2",1,1497,0,0,0,"18101_A01",0
