"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"C125605","C125605","Non Germ Free",NA,"0",24,23,23,23,24,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,24
"C125605","C125605","Non Germ Free",NA,"1",168,163,163,163,168,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,163,168
