"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","Peak.no","Peak_dist","Peak.pval","PeakDiff","significance p<0.05"
"3530","Non Germ Free",0,22,24,TRUE,"4",2.666,1,0,NA
"3530","Non Germ Free",1,158,167,TRUE,"4",2.439,0.604,-8.512,NA
