"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
3529,"C844503","Germ Free",NA,"0",48,46,46,46,48,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,48
3529,"C844503","Germ Free",NA,"1",336,320,320,320,336,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,320,336
