"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C125605_20190410","0",0.6957,1,1,1,0.6381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6381
"3","C125605_20190410","1",0.9854,1,1,1,0.9764,1,0.8895,1,1,1,1,1,1,1,1,1,1,1,0.8895,1,1,1,0.8824,0.9698
"2","C125605_20190418","0",0.7553,1,1,1,0.7553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7553
"4","C125605_20190418","1",0.7836,1,1,1,0.7836,0.7638,0.7638,0.6668,0.8743,0.8743,1,0.6668,1,1,0.8743,0.8743,1,1,0.8743,1,1,1,0.6668,0.6324
