"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"C125605_20190410","C125605","Non Germ Free",NA,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"C125605_20190410","C125605","Non Germ Free",NA,1,3,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16
"C125605_20190418","C125605","Non Germ Free",NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C125605_20190418","C125605","Non Germ Free",NA,1,6,0,0,0,6,2,2,3,1,1,0,3,0,0,1,1,0,0,1,0,0,0,3,9
