"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C125605_20190410","0","22;2;22;2","22;0;22;0","22;0;22;0","22;0;22;0","19;5;19;5","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","19;0;19;0","22;0;22;0","19;5;19;5"
"3","C125605_20190410","1","22;2;165;3","22;0;165;0","22;0;165;0","22;0;165;0","19;5;153;15","19;0;153;0","19;0;152;1","19;0;153;0","19;0;153;0","19;0;153;0","19;0;153;0","19;0;153;0","19;0;153;0","19;0;153;0","19;0;153;0","19;0;153;0","19;0;153;0","19;0;153;0","19;0;152;1","19;0;153;0","19;0;153;0","19;0;153;0","22;0;164;1","19;5;152;16"
"2","C125605_20190418","0","23;1;23;1","23;0;23;0","23;0;23;0","23;0;23;0","23;1;23;1","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;0;23;0","23;1;23;1"
"4","C125605_20190418","1","23;1;160;6","23;0;160;0","23;0;160;0","23;0;160;0","23;1;160;6","23;0;158;2","23;0;158;2","23;0;157;3","23;0;159;1","23;0;159;1","23;0;160;0","23;0;157;3","23;0;160;0","23;0;160;0","23;0;159;1","23;0;159;1","23;0;160;0","23;0;160;0","23;0;159;1","23;0;160;0","23;0;160;0","23;0;160;0","23;0;157;3","23;1;157;9"
