"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","Peak.no","Peak_dist","Peak.pval","PeakDiff","significance p<0.05"
"3529","Germ Free",0,38,47,TRUE,"4",1.038,1,0,NA
"3529","Germ Free",1,271,335,TRUE,"4",0.971,0.998,-6.482,NA
