"chemical.id","chemical.name","conc","units","count","org_ss","perc","ss_more_70perc","AUC","PercDiff","AUC.Pval","significance p<0.01","significance p<0.01 and 50% cutoff","activity","Comments"
"3529","Germ Free",0,"",38,47,0.81,TRUE,11.622,0,1,NA,NA,NA,NA
"3529","Germ Free",1,"uM",271,335,0.81,TRUE,76.207,555.726,0,"YES","YES","HYPER",NA
