"chemical.id","conc","Light_Cycle_Pval","Dark_Cycle_Pval","Light_Cycle_AUC","Dark_Cycle_AUC","Light_Cycle_PercDiff","Dark_Cycle_PercDiff","trans_dist","trans_PercDiff","trans_AOV_pval"
"3530","0","1","1","2421.874","18085.61","0","0","8.25","0",0
"3530","1","0","0","24004.743","155551.181","891.164","760.083","8.102","-1.789",0.906
