"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","trans_dist","trans_PercDiff","trans_AOV_pval","significance p<0.01"
"3530","Non Germ Free","0",22,24,TRUE,8.25,0,0,NA
"3530","Non Germ Free","1",158,167,TRUE,8.102,-1.789,0.906,NA
