"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","trans_dist","trans_PercDiff","trans_AOV_pval","significance p<0.01"
"3530","Non Germ Free","0",42,48,TRUE,1.194,0,0,NA
"3530","Non Germ Free","1",308,333,TRUE,2.678,124.36,0.103,NA
