"chemical.id","chemical.name","conc","units","interval","count","org_ss","perc","ss_more_70perc","AUC","PercDiff","Pval","significance p<0.01","significance p<0.01 and 50% cutoff","activity","Comments"
"3530","Non Germ Free",0,"","Dark",42,48,0.88,TRUE,18986.2,0,1,NA,NA,NA,NA
"3530","Non Germ Free",0,"","Light",42,48,0.88,TRUE,1185.954,0,1,NA,NA,NA,NA
"3530","Non Germ Free",1,"uM","Dark",308,333,0.92,TRUE,152683.074,704.179,0,"YES","YES","HYPER",NA
"3530","Non Germ Free",1,"uM","Light",308,333,0.92,TRUE,11084.051,834.611,0,"YES","YES","HYPER",NA
