"chemical.id","conc","Light_Cycle_Pval","Dark_Cycle_Pval","Light_Cycle_AUC","Dark_Cycle_AUC","Light_Cycle_PercDiff","Dark_Cycle_PercDiff","trans_dist","trans_PercDiff","trans_AOV_pval"
"3530","0","1","1","1185.954","18986.2","0","0","1.194","0",0
"3530","1","0","0","11084.051","152683.074","834.611","704.179","2.678","124.36",0.103
