"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"C844503_20190403","C844503","Germ Free",NA,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"C844503_20190403","C844503","Germ Free",NA,1,5,1,0,0,5,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37
"C844503_20190404","C844503","Germ Free",NA,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3
"C844503_20190404","C844503","Germ Free",NA,1,16,0,0,0,21,5,2,5,1,1,0,5,0,0,3,3,0,0,3,0,0,0,27,27
