"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"C844503_20190403","C844503","Germ Free",NA,"0",23,22,22,22,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23
"C844503_20190403","C844503","Germ Free",NA,"1",168,163,163,163,168,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,168,168
"C844503_20190404","C844503","Germ Free",NA,"0",24,22,22,22,24,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24
"C844503_20190404","C844503","Germ Free",NA,"1",168,152,152,152,168,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,168,168
