"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C844503_20190403","0","22;1;22;1","21;1;21;1","22;0;22;0","22;0;22;0","22;1;22;1","22;0;22;0","18;4;18;4","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","17;6;17;6","17;6;17;6"
"3","C844503_20190403","1","22;1;163;5","21;1;162;1","22;0;163;0","22;0;163;0","22;1;163;5","22;0;161;2","18;4;133;30","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","22;0;163;0","17;6;131;37","17;6;131;37"
"2","C844503_20190404","0","22;2;22;2","22;0;22;0","22;0;22;0","22;0;22;0","22;2;22;2","22;0;22;0","21;1;21;1","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","21;1;21;1","22;0;22;0","22;0;22;0","21;1;21;1","22;0;22;0","22;0;22;0","22;0;22;0","21;3;21;3","21;3;21;3"
"4","C844503_20190404","1","22;2;152;16","22;0;152;0","22;0;152;0","22;0;152;0","22;2;147;21","22;0;142;5","21;1;145;2","22;0;142;5","22;0;146;1","22;0;146;1","22;0;147;0","22;0;142;5","22;0;147;0","22;0;147;0","22;0;144;3","21;1;144;3","22;0;147;0","22;0;147;0","21;1;144;3","22;0;147;0","22;0;147;0","22;0;147;0","21;3;141;27","21;3;141;27"
