"Chemical","conc","Interval","N","AUC","RelativeRatio","P value","Activity"
"Non Germ Free",1,"Dark",161,63.511,0.048,"<0.001",NA
"Non Germ Free",1,"Light",161,46.279,2.015,"0","HYPER"
