chemical.id,conc,plate.id,well,remove,bottle.id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48
Chorionated,0,17744,C03,0,blk,0,0.0216875,0.542519375,0,0,0.086805625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52865,2.2352153125,2.3871390625,0,0,0,0,0,0,0,0,0,0,0,0,0.0216875
Chorionated,0,17744,D03,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,E03,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.233506875,0,0.0216875,0.21701375,0,0.3906246875,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,F03,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,G03,0,blk,0,0,0,4.166653125,0,0.0216875,0,1.323785,0,0,0.520834375,0,0,0,2.7777803125,0,0,0,0,0,0,0,2.4305409375,0,0,0,1.04165125,0.71613125,0,0,0.108506875,3.0164909375,2.1267375,4.81770875,0.9982640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,H03,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.627605625,8.0946178125,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,A04,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,B04,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,C04,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,D04,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,E04,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,F04,0,blk,0,0,0.0216875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,G04,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,H04,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,A05,1,blk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chorionated,0,17744,B05,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,C05,0,blk,0,0,13.085925,0,0,6.2933909375,0,0,0,0,1.3671875,4.55729375,0,0,0,5.7508640625,0,0,8.4852440625,0,0,0,0,8.89756875,0.347221875,0,4.49218875,0,0.1953125,7.40015625,0,5.078125,24.500875,50.1519103125,12.5651,0,0,0,0,0,0,0,0,0,0,0.0216875,0,0
Chorionated,0,17744,D05,0,blk,7.87760375,0,17.6866134375,0,0,0,0,3.363715625,3.7109375,0,0,2.19184,0,0,2.27864625,0,0,3.36371625,0,0,2.0833334375,0,0,3.9930584375,0.108506875,0,2.756078125,0,0,0,4.383664375,0,2.4739415625,8.3333296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,E05,0,blk,0,0,0,0,0,2.9513740625,0,0,2.886284375,2.2352434375,2.387153125,9.4183715625,6.3150628125,0,4.94791625,0.2387153125,0,0,0,0,4.7743040625,0,0,4.7959925,0,0,0,5.403646875,0.21701375,0,0,4.318575,14.9522625,21.918388125,2.1918409375,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,F05,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,G05,0,blk,2.01822875,0,0,0,12.6953125,1.150174375,0,0,0,0,0.6076378125,5.642356875,0,0,1.236964375,0,0,0,0,0.69444375,19.769963125,0,0,0.0216875,0.282118125,0,0,0,5.8376625,0,0,0,0,3.016478125,3.776040625,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,H05,0,blk,0,0,0,2.5824634375,0,0,0,0,5.6640625,0,0,0,0,0,0,0,5.8376740625,0,0,3.4288196875,0,0,0,0,0,0.2604165625,0,0,0,0,0,0,2.322049375,39.691846875,60.785569375,29.318533125,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,A06,0,blk,0,39.6484621875,35.5685375,13.5416415625,0,16.4930625,31.4019,0,32.096371875,0,0,0,0,0,0,0,0,0,0,0,0,44.205785625,0,0,32.26996875,0,0,40.342875,15.5816,0,0,17.1658,97.764709375,126.7578125,121.54944375,69.314218125,0.0216875,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,B06,0,blk,0,0,0,0,0,0,32.465259375,5.620646875,69.2925559375,0,0,0,0,0,0,0,0,24.41409375,23.242188125,0,0,33.007840625,1.45398125,0,0,0,0,42.426221875,0,0,0,123.958284375,170.94184375,123.763,106.20661875,19.3142403125,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,C06,0,blk,0,0,0,62.586821875,9.78734375,0,0,0,0,0,28.602428125,20.1171871875,0,0,0,0,36.349821875,8.83245,0,51.32376875,0,0,0,34.2881875,0,0,0,0,72.72133125,1.909721875,0,40.47309375,140.92878125,97.070321875,83.3550375,0.62934,0,0.0216875,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,D06,1,blk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chorionated,0,17744,E06,0,blk,0,50.21699375,0,32.226553125,1.258681875,0,0,38.06425,0,0,66.753534375,34.309871875,0,0,0,39.322925,0,0,0,43.120649375,0,0,79.9262125,0,0,0,86.545121875,2.6475684375,0,0,0,102.191821875,64.0408159375,143.706625,143.0989375,61.024240625,0.0216875,0,0,0,0,0,0,0,0,0,17.361125,37.34809375
Chorionated,0,17744,F06,0,blk,0,0,6.857625,38.693575,0,0,0,37.50000625,0,0,0,67.816853125,0.325521875,0,0,0,0,0.0216875,36.046003125,0.325521875,0,0,0,33.48525625,0,0,0,17.64321875,61.5017034375,0,0,0.108506875,109.3533028125,133.26824375,81.5972125,26.410561875,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,G06,0,blk,0,0,0,14.62675,16.7968853125,0,0,0,0,0,0,46.96179375,0,0,0,0,0,6.29340625,21.8316125,0,0,0,0,0,0,45.399325,0.130194375,0,0,41.4713559375,0,62.1744384375,155.620675,96.0937625,1.2803809375,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,H06,0,blk,0,0,0,20.789959375,40.2994584375,0,0,0,0,0,0,0,28.5590165625,0,0,0,0,0,0.0216875,25.889753125,0.802950625,0,0,0,0,27.1484353125,0,0,0,0,0,52.99481875,32.139728125,45.4426853125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,1,17744,A07,0,blk,20.160571875,0,0,0,0,0,0,0,17.1875175,5.4470478125,0,0,0,0,0,0,0,21.5060421875,0,0,0,22.3524375,0.5641953125,0,0,0,0,0,6.249994375,0.412325,0,37.348118125,19.075479375,11.3497878125,3.8411453125,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,1,17744,B07,0,blk,0,19.5095321875,0,2.03993125,18.3159903125,0,0,0,0,7.118054375,0,0,16.948803125,0.21701375,0,0.716146875,18.0121625,0,0,0,5.77256875,2.2786478125,17.7083540625,0,0,0,19.618084375,0,0,0,19.075498125,33.48524375,55.750891875,25.6727165625,19.921884375,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,1,17744,C07,0,blk,0,20.855028125,0,0,0,0,0,0,5.72916625,2.47395625,0,0,0,7.40016875,0,0,0,0,0,20.269078125,0.0867915625,0,0,0,0,11.306434375,0,0,0,0,7.986115625,66.536453125,70.442703125,61.176203125,12.84721625,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,1,17744,D07,0,blk,2.907971875,0,13.8455,6.4670028125,0,0,0,17.730021875,5.75085,0,0,0,19.986959375,0,0,0,15.125859375,0,21.8749809375,0,0,0,0,0,13.2378621875,0,12.7170125,0.2604028125,19.8784634375,0,0,10.1779625,42.491324375,59.592021875,8.897559375,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,1,17744,E07,0,blk,0,22.309028125,0,0,0,0,0,0,0,18.858509375,7.89928125,24.197075,0,0,0,0,0,0,0,18.09894375,2.43055625,0,0,0,0,0,0,22.417496875,0,0,0.0216875,0,34.5702903125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,1,17744,F07,0,blk,0,0,15.668405625,23.4592,33.940975,1.128471875,0,0,0,0,0,18.446206875,0,0,0,18.4461978125,0,0,0,7.269965625,0.0651040625,0,0,9.266490625,72.6562875,0.455728125,0,0,0,0,0,33.46353125,36.4149196875,40.1692375,5.2951375,0,0,0,0,0,0,0,0,0,0,0,0,0
