chemical.id,bottle.id,conc,plate.id,well,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
3530,C125605,0,18035,H05,0,12.478309375,3.12500125,0,0.021701375,0,0,0,15.4947916875,0,0.021701375,17.252602,0.6727415625,0,0,16.514749375,0,0,0,0,0,0,0,0,0,0,0,0,20.746538875,0,13.693596875,0,0,0,0,0,0,1.64930625,0,0,0,1.041665625,0,0,0,0,0,0,0
3530,C125605,0,18035,H06,12.3697896875,0,0,0,0,0,0,0,0,3.2769071875,0,4.774305625,13.845513125,1.7361125,0,0,0,0,0,0,0,0,0,8.4852546875,0,0,0,0,0,0,3.6458328125,4.3402765625,2.1484371875,6.0980971875,0,0,0,2.777778125,0,0,0,2.387153125,0,0,0,0,0,0,6.5972253125
3530,C125605,0,18035,H07,0,18.2508696875,0.8029528125,0,17.4913225,0,0,0,0,0.021701375,0,18.5546684375,0.781249375,0,19.4227290625,0.4557290625,0,0,0,0,6.6623253125,0,0,18.749982625,1.6710059375,0,0,0,0,16.3411325,0.4774291875,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9279653125,19.8350595,0,0,0
3530,C125605,0,18035,H08,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,6.076399375,0.8029513125,0,0,0,0,0,0,0,0,6.7057295,21.1154465,0.2604165625,0,0,0,0,0,0,6.727430625,6.7274325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18035,H09,5.815975625,14.539928125,0,0,0,0,21.22397325,0,0,24.500878125,0.4774291875,0,0,22.22223,0,0,0,26.49740625,0,0,21.7882045,0,0,0,13.302934375,12.91231825,0,0,21.744774625,0,0,0,0,0,0,0,0,0,0,0.021701375,0.021701375,0,0,0,0,0,0,0,0
3530,C125605,0,18035,H10,0,0,14.56163125,0,0,13.60678125,0.651040625,24.04514375,0,0,0,0,0,3.45053125,7.486965,0,0,0,0,24.73955875,0,0,0,23.0903009375,0,0,0,0,0,0,0,21.0503684375,74.435770125,57.4652571875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18035,H11,0,4.058157625,0.130208375,0,0,0,0,0,0,0,0,0,0,1.5842,3.732639375,2.9513871875,0,0,0,8.246521875,11.78384125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18035,H12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18038,H01,0,0,4.1449660625,0,0,0,0,0,11.111133125,2.64757125,0,0,5.7942684375,0,0,0,0,0,0,0,9.74394375,4.2534715625,0,0,0,0,0,0,0,4.03645875,0.2821181875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18038,H02,15.2560965625,0,0,13.9973903125,1.302082625,0,0,0,4.6006925,0,0,0,0,13.7369875,0,0,0,5.33854375,0.36892375,0,14.691828125,1.280383125,0,0,4.904509375,0.2604165625,0,0,0,0,14.0190940625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18038,H03,17.295999375,0,0,0,7.421864625,0,0,0.021701375,18.8368148125,0,0,0,0,7.2699575,0,0,17.0790191875,0.2604166875,0,0,0,0,0,0,0,18.641490625,0,0,8.268223125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18038,H04,0,0,0,0,11.197906875,0,0,0,0,0,0,0,0,0.021701375,0,0,0,11.74046875,3.2769104375,0,0,0,0,0,0,0,0,8.2031125,3.0164934375,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18038,H05,0,0,0,0,0,0,0,0.4774303125,0,5.099812625,0,0,0,0,0,0,1.8229153125,0,0,0,5.6206515,0,0,0,4.64409825,0.5859374375,0,0,1.6927085625,0,0.2387153125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0
3530,C125605,0,18038,H06,0,0,7.0312490625,0,0,0,0,0,9.5920315,0,0,0,0,5.946178875,0,0,0,0,0,0,0,0,8.355037625,0,0,1.5625015625,0.195312625,0,6.94444375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7708336875,0,0,0
3530,C125605,0,18038,H07,0,0,16.0156153125,0.3255206875,0,0,0,0,16.40623525,0,0,0,0,0,0,0,7.37846875,7.747402,0,15.1041691875,0,0,0,0,0,0,0,6.206596875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0.021701375
3530,C125605,0,18038,H08,0.021701375,0,11.32812,0,0,0,0,12.4349021875,0,0.021701375,0,0,0,0,0,0,3.276909375,3.5373260625,0,0,11.95746,0,0,0,4.86111,2.213542,0,9.5920153125,0,0,0,0,3.68923375,1.671008875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520834375,0
3530,C125605,0,18038,H09,0,0.021701375,6.7274416875,0.13020825,0,11.6536509375,0,0,0,0,0,14.1927053125,0,0,11.63192325,1.4973975,0,0,0,0,13.8888759375,0.3689235625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8637159375,0,0,0,0,0,0,0,0,0,0,0
