"chemical.id","chemical.name","conc","units","count","org_ss","perc","ss_more_70perc","AUC","PercDiff","AUC.Pval","significance p<0.01","significance p<0.01 and 50% cutoff","activity","Comments"
"3530","Non Germ Free",0,"",42,48,0.88,TRUE,41.017,0,1,NA,NA,NA,NA
"3530","Non Germ Free",1,"uM",308,333,0.92,TRUE,194.579,374.383,0.052,NA,NA,NA,NA
