"Chemical","conc","Interval","N","AUC","RelativeRatio","P value","Activity"
"Non Germ Free",1,"Dark",308,48.268,-0.36,"0","HYPO"
"Non Germ Free",1,"Light",308,35.189,0.063,"0",NA
