"chemical.id","conc","date","plate","well","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92","t93","t94","t95","t96","t97","t98","t99","t100","t101","t102","t103","t104","t105","t106","t107","t108","t109","t110","t111","t112","t113","t114","t115","t116","t117","t118","t119","t120","t121","t122","t123","t124","t125","t126","t127","t128","t129","t130","t131","t132","t133","t134","t135","t136","t137","t138","t139","t140","t141","t142","t143","t144","t145","t146","t147","t148","t149","t150","t151","t152","t153","t154","t155","t156","t157","t158","t159","t160","t161","t162","t163","t164","t165","t166","t167","t168","t169","t170","t171","t172","t173","t174","t175","t176","t177","t178","t179","t180","t181","t182","t183","t184","t185","t186","t187","t188","t189","t190","t191","t192","t193","t194","t195","t196","t197","t198","t199","t200","t201","t202","t203","t204","t205","t206","t207","t208","t209","t210","t211","t212","t213","t214","t215","t216","t217","t218","t219","t220","t221","t222","t223","t224","t225","t226","t227","t228","t229","t230","t231","t232","t233","t234","t235","t236","t237","t238","t239","t240","t241","t242","t243","t244"
3530,1,20190418,18047,"E05",0.24600000679493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66500020027161,17.5559995174408,13.3619999885559,1.04200005531311,0,1.17900002002716,0.768999993801117,1.19500005245209,0,0,0,0,0,19.9650001525879,18.8679995536805,16.9269995689392,18.5329995155334,7.29500007629395,6.97599989175797,0,0.737999975681305,6.53700023889542,24.7480006217957,18.2390003204346,0,0.393999993801117,7.12199997901916,22.4429998397827,5.17600011825562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10000006854534,19.6680002212524,13.662999868393,2.74399995803833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.182000041008,0,0,0,0,0,0.137999996542931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666000008583069,0,0,0,0,0,0,0,0,0,1.8939999602735,21.5319991111756,0.985000014305115,0.337000012397766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,20190418,18047,"E06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,20190418,18047,"E07",4.94199991226196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23499989509582,19.0890004634857,10.320999622345,3.62199997901917,2.95299994945526,0.702000021934509,2.13999998569489,6.59899997711181,5.20499992370606,2.99600005149841,4.24499988555908,3.71999996900558,14.8269996643066,14.9480004310608,7.78300023078919,15.6459999084473,12.2659997940063,7.7359998896718,8.08300018310547,10.8910002708435,8.64299988746643,6.95999991893768,9.18300008773804,7.4149999320507,8.46999964118004,6.49300003051758,11.7550001144409,6.26999998092652,6.73000001907349,16.3829996585846,6.33300018310547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36400008201599,19.0850002765655,6.71000009775162,4.34700006246567,11.2360000610352,15.4810004234314,11.4519996643066,13.2139997482299,11.809999704361,3.07699990272522,8.53200030326843,1.37000000476837,7.10900008678437,6.22499990463257,3.64800000190735,7.84000015258789,7.22299981117249,12.1009998321533,12.5390000343323,3.73600006103516,1.26400005817413,7.74000024795533,4.96700000762939,6.93299984931946,11.3230004310608,6.88499999046326,4.80299997329712,7.95700001716614,8.63599979877472,0.535000026226044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5280001163483,20.9789996147155,5.98499989509582,3.34599995613098,2.06299996376038,5.60099995136261,1.87699997425079,3.52700006961822,2.6350000500679,4.92099988460541,2.63100004196167,1.21899998188019,1.56900000572205,8.15299987792969,4.95700001716614,6.51799988746643,10.0789999961853,19.3110003471375,10.2750000953674,9.14700031280518,4.84800004959106,14.5690002441406,7.51800012588501,9.76099967956543,11.5199999809265,9.79700016975403,14.981999874115,13.6650004386902,7.69700002670288,0.799000024795532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68299996852875,15.7619996070862,5.63000011444092,1.83200001716614,2.65600001811981,6.15700006484986,7.42900013923645,4.89799984544516,1.57599997520447,14.4599995613098,5.38100004196167,7.02600026130677,5.42200005054474,6.07200002670288,11.9939999580383,8.5239999294281,10.1110002994537,14.9070000648499,9.69999980926514,8.4500002861023,10.7400002479553,7.09000015258789,4.60099989175796,1.69300001859665,4.91299992799759,4.2279999256134,4.00599992275238,5.5239998139441,5.25599992275238,11.0959998369217,0.596000015735626,0,0,0,0
3530,1,20190418,18047,"E08",36.9980001449585,0.948000013828278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05799984931946,1.89999997615815,28.691999912262,7.09700000286102,12.3749997615814,2.33300000429153,0,0,0.568000018596649,4.2279999256134,0,9.13999986648559,2.69400000572205,1.692999958992,0,1.32599997520447,0,3.04400008916855,5.10999999940396,0,0,0,4.34799993038178,2.41100001335144,0.648000001907349,5.99399995803833,7.71399974822998,3.87500011920929,0,1.26499994844198,4.55300009250641,0.704999983310699,0.843999981880188,0.282000005245209,3.37099993228912,7.43199992179871,4.63399994373322,0.61599999666214,0,0,0,0,1.13800001144409,0,0.681999981403351,0,0,0,0.388999998569489,0,0,0,0,0,0,0,0,0,0,0,26.8680005073547,17.5419998168945,1.5789999961853,8.32200002670288,6.35599982738495,0,0,0,0,0,0,0,0,0,0,0,1.46099996566772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.433000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5809996128082,9.05299997329712,0.388999998569489,0,1.90099999308586,0,7.2940001487732,11.146999835968,13.4609999656677,3.94600003957749,0.275000005960464,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25399971008301,7.67199993133545,10.5620003938675,14.5050003528595,2.9869999885559,0.980000019073486,1.70500004291535,0.958000004291534,0.495999991893768
3530,1,20190418,18047,"E09",0,0,0,6.6140002310276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29900002479553,0,0,0,0,0,0,0,0,0,0.430999994277954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49700002372265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87200003862381,4.77999997138978,10.7820001840591,13.6299996972084,10.0839996337891,12.2230000495911,10.2369999885559,12.5389997959137,9.81399989128112,9.66200017929078,6.94699978828431,11.4649999141693,7.43500018119812,15.025999546051,12.4580001831055,11.7790001630783,6.32800006866456,9.34600019454957,11.6639995574951,5.45099997520447,7.97399973869323,13.6690003871918,13.3599998950958,10.8050000667572,8.92200016975403,12.75200009346,8.68099999427795,12.643000125885,12.1349996328354,4.12599994242192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27400016784668,6.34299990534782,7.20099997520447,3.42799997329712,8.79999995231628,8.39800024032593,9.83899998664856,8.25300002098083,7.37699997425079,12.2839999198914,10.6340003013611,12.0899996757507,5.22699999809265,11.4889997243881,10.0929999351502,13.5420000553131,13.3410000801086,8.89600014686585,4.25600004196167,10.0799999237061,12.1439999341965,9.01699995994568,9.89800000190735,8.20400023460388,13.6540002822876,12.7130001783371,15.389999628067,5.82500004768372,12.7210001945496,8.39500021934509,4.60799992084503,0,0,0,0,0,0,1.00499999523163,0,0,0,0,0,0,0,0,0.444000005722046,0,0,0,0,0,0,0,0,0,0,0,0,0.839999973773956,2.69500005245208,2.48500001430511,2.30500000715256,6.97900009155274,4.99699997901917,5.24300003051757,6.21299982070922,6.23799991607666,7.07300019264221,3.70400011539459,10.982999920845,6.57699990272521,6.25699996948242,10.2150001525879,10.4650002717972,10.7469998598099,11.639000415802,5.21099996566773,11.2620003223419,10.3330003023148,6.46199989318848,7.89300012588501,6.30200004577637,6.45000004768372,9.16199970245361,6.45899987220764,11.5730004310608,4.32099997997283,2.92599999904632,6.75900006294251,0,0,0,0
3530,1,20190418,18047,"E10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,20190418,18047,"E12",9.03900003433228,0.623000025749207,0,0,0,0.972000002861023,17.2549999952316,13.0379998683929,0,0,0.934000015258789,6.51000022888184,10.183000087738,3.53299997746944,0.204999998211861,0,0,0,2.89999997615814,0,1.34399998188019,0,0,0,0,0,0,0,0,0,22.1920003890991,22.3050003051758,24.9460005760193,16.2020001411438,6.97399997711182,5.74699997901916,9.34699964523316,10.0750000476837,13.7009997367859,13.3860006332397,18.5359997749328,12.6950001716614,11.8550000190735,13.2290003299713,12.1949994564056,13.0119996070862,14.4770002365112,14.576000213623,13.6860003471375,14.664999961853,16.0450005531311,17.8190002441406,11.0789999961853,8.22799992561341,8.75199985504151,14.0409998893738,16.4319996833801,16.8949995040894,14.4019999504089,14.018000125885,25.4270005226135,2.82599997520447,1.53999996185303,1.03499998152256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8829998970032,23.7880005836486,21.3880000114441,0.400000005960464,0,0,0,0.388999998569489,0,0,0,0,0,2.80799990892411,15.2389998435974,7.42300009727478,2.55299997329712,2.13899993896484,0,0,0,0,4.01000010967255,16.0130004882813,13.6019999980926,4.37800014019012,0.123000003397465,0,9.89999985694885,6.18799996376037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74100017547607,6.0219999551773,3.01399993896484,5.45500004291535,16.3329997062683,11.1950001716614,13.4200005531311,14.0260000228882,2.0550000667572,0,0,6.54699993133545,0,0,0.727999985218048,7.53899979591369,4.38299989700317,5.8970000743866,6.71200007200241,15.6340003013611,13.9159998893738,23.9679999351502,0.587999999523163,0,0,0.685000002384186,0.648999989032745,0,0,0.493999987840652,0,0,0,0,0,0,0,0,0.676999986171722,1.10800004005432,0.884999990463257,0.629000008106232,0,0,1.41999995708466,0,0.628000020980835,0,0,0,0,0,0,0,0,0,0,0,0,9.19700002670288,11.4349999427795,10.7030000686646,19.5640001296997,13.8230004310608,11.1420001983643,19.1140003204346,15.6960000991821,15.085000038147,16.9860000610352,9.8030002117157,12.5979995727539,15.2700004577637,18.2600002288818,18.5729999542237,8.60400009155274,19.5359997749328,22.2089991569519,12.0300002098083,10.7479996681213,13.460000038147,17.7049999237061,19.1470003128052,13.0269999504089,19.1600003242492,13.8229999542236,10.4779999256134,21.0240001678467,21.1049995422363,20.670000076294,15.7409996986389,0,0.526000022888184,2.16499996185303,0.638999998569489
3530,1,20190418,18047,"F01",12.0469996929169,4.18599987030029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9740004539489,14.3689994812012,11.1059997081757,3.21899998188018,7.13899993896485,7.25999975204468,15.7929999828339,7.42900002002716,12.2839999198914,10.8450005054474,5.54900002479553,12.0780000686646,13.2690002918243,11.0020000934601,7.42699980735779,6.70199978351593,4.48099994659424,5.46600008010864,7.66600012779236,4.56599998474121,10.0950000286102,3.96800005435944,5.5550000667572,9.99400019645691,9.25999999046326,11.9280004501343,12.0190002918243,12.3319997787475,11.3089995384216,4.45100009441376,1.932000041008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86299991607666,10.9640002250671,10.4999996423721,10.2170000076294,2.48500011861325,8.01300011575222,9.8600001335144,4.46000003814697,8.39400005340576,9.6489999294281,5.48099994659424,5.56499993801117,6.37800014019012,7.42700010538101,5.58000016212463,3.9359998703003,8.25999975204467,2.96200009435415,6.03499984741211,4.67600011825561,9.59099984169006,10.4470000267029,11.4169998168945,6.88200008869172,9.0310001373291,10.0920000076294,9.3510000705719,12.0179996490479,4.50999999046326,6.7630000114441,5.01899993419648,1.46099996566772,2.32599997520447,0.629999995231628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.375,3.85400003194809,7.57600021362305,4.66499996185302,5.36800003051758,2.03000007476658,3.54999995231628,3.5110000371933,1.30900001525879,7.375,5.17300009727478,9.24399995803833,2.71499997377396,2.22199994325638,6.94700002670288,7.38699996471405,3.14100003242493,4.33199989795684,5.44399988651276,2.69199997186661,3.7370001077652,9.18899989128113,6.22399997711182,9.42799997329711,4.12699997425079,5.30700010061264,11.3570001125336,6.71499982476235,3.11699998378754,7.94800007343293,4.42599987983703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14000010490417,3.49500000476837,5.59999990463257,2.89299988746643,7.75799977779389,4.42199993133545,3.37300002574921,3.60000002384186,2.51800000667572,3.83899992704392,3.30599999427795,7.49900007247925,4.47700011730194,10.8110004663467,1.72399997711182,4.01499986648559,11.3859995603561,2.6230000257492,5.53699994087219,5.5699999332428,2.63300001621246,6.43800008296967,2.80900001525879,0.825999975204468,0,0.873000025749207,1.42500004172325,0.998000025749207,5.78099989891053,5.106999874115,1.97599995136261,0,0,0,0
3530,1,20190418,18047,"F02",0.216000005602837,0,0,0,2.81800007820129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708999991416931,0,0,0,0,0,0,0,0,2.53500008583069,2.05299997329712,0,0,0,0,0,7.46399998664856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9279999434948,0.375999987125397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74699999392033,0,0,0,0,0,0,0,0,0,0.428999990224838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388999998569489,0,0,0,0,0,5.85099983215332,2.89200010895729,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24600005149841,0,13.2690005302429,8.82600021362305,0,4.83300012350083,20.1299993991851,1.08399999141693,3.5809999704361,0.407999992370605,0,0,0,0,0,0,0,0,0,0.275000005960464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123000003397465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62800002098084,0,3.51699995994568,2.77299994230271,3.93899989128113,0,0,0,0,1.41700005531311,0,0,1.92800004035234,0,0,0,0.421000003814697,0,0,0,0,0,0,0,2.55599999427796,0.84799998998642,0,0,2.23699998855591,0,0,0,0
