"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE","AXIS","EYE","SNOUT","JAW","OTIC","PE","BRAIN","SOMITE","PFIN","CFIN","PIGMENT","CIRC","TRUNK","SWIM","NC","TR","any.except.MORT","any.effect"
"1","C125605_20190502","0","23;1;23;1","23;0;23;0","23;0;23;0","23;0;23;0","22;2;22;2","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","22;0;22;0","23;0;23;0","22;2;22;2"
"2","C125605_20190502","1","23;1;163;5","23;0;163;0","23;0;163;0","23;0;163;0","22;2;160;8","22;0;159;1","22;0;160;0","22;0;159;1","22;0;160;0","22;0;160;0","22;0;160;0","22;0;159;1","22;0;160;0","22;0;160;0","22;0;160;0","22;0;160;0","22;0;159;1","22;0;160;0","22;0;160;0","22;0;160;0","22;0;160;0","22;0;160;0","23;0;162;1","22;2;159;9"
