"chemical.id","bottle.id","chemical.name","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"C125605_20190502","C125605","Non Germ Free",0,4.17,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33
"C125605_20190502","C125605","Non Germ Free",1,2.98,0,0,0,4.76,0.62,0,0.62,0,0,0,0.62,0,0,0,0,0.62,0,0,0,0,0,0.61,5.36
