"chemical.id","chemical.name","conc","units","count","org_ss","perc","ss_more_70perc","AUC","PercDiff","AUC.Pval","significance p<0.01","significance p<0.01 and 50% cutoff","activity","Comments"
"3529","Germ Free",0,"",43,48,0.9,TRUE,17.195,0,1,NA,NA,NA,NA
"3529","Germ Free",1,"uM",310,335,0.93,TRUE,174.328,913.829,0,"YES","YES","HYPER",NA
