"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","Peak.no","Peak_dist","Peak.pval","PeakDiff","significance p<0.05"
"3529","Germ Free",0,43,48,TRUE,"4",2.472,1,0,NA
"3529","Germ Free",1,310,335,TRUE,"4",2.94,0.367,18.927,NA
